RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  240 1457     0     0  con    3  7.6D-01  5.9D-01  1.040D-03        NaN
  241 1463     0     0  con    5  3.0D+00  3.2D-01  1.074D-03        NaN
  242 1468     0     0  con    4  7.2D-01  8.1D-02  1.049D-03        NaN
  243 1476     0     0  con    7  1.3D+00  1.0D-01  8.622D-04        NaN
  244 1494     0     0  con   17  1.2D+00  3.0D-01  8.077D-04        NaN
  245 1499     0     0  con    4  1.5D+00  1.2D-01  9.166D-04        NaN
  246 1518     0     0  con   18  5.7D+00  3.8D-01  1.376D-03        NaN
  247 1522     0     0  con    3  2.8D-01  1.1D-01  1.206D-03        NaN
  248 1534     0     0  con   11  2.4D+00  1.4D-01  6.961D-04        NaN
  249 1551     0     0  con   16  1.6D+00  4.4D-01  7.713D-04        NaN
  250 1560     0     0  con    8  2.6D+00  1.2D-01  7.905D-04        NaN
  251 1571     0     0  con   10  4.4D+00  1.1D-01  9.111D-04        NaN
  252 1581     0     0  con    9  2.2D+00  7.5D-01  1.205D-03        NaN
  253 1621     1     0  ---   19  1.0D+00  1.1D-02  1.105D-03        NaN
  254 1627     0     0  con    5  1.9D+00  1.1D-02  1.074D-03        NaN
  255 1633     0     0  con    5  3.0D+00  1.9D-02  8.576D-04        NaN
  256 1648     0     0  con   14  2.6D+00  2.2D-02  7.398D-04        NaN
  257 1664     0     0  con   15  8.1D+00  3.0D-02  7.018D-04        NaN
  258 1667     0     0  con    2  9.3D-01  3.4D-02  6.944D-04        NaN
  259 1681     0     0  con   13  1.6D+00  3.9D-02  8.927D-04        NaN
  260 1688     0     0  con    6  1.4D+01  1.0D-01  9.182D-04        NaN
  261 1694     0     0  con    5  2.9D+00  9.8D-02  4.640D-04        NaN
  262 1713     0     0  con   18  5.6D+00  1.6D-01  7.601D-04        NaN
  263 1731     0     0  con   17  1.2D+00  1.0D-01  5.947D-04        NaN
  264 1746     0     0  con   14  2.2D+00  7.0D-02  6.932D-04        NaN
  265 1750     0     0  con    3  5.0D+00  1.1D-01  6.613D-04        NaN
  266 1755     0     0  con    4  1.5D+00  6.4D-02  4.559D-04        NaN
  267 1761     0     0  con    5  3.5D+00  3.0D-02  5.591D-04        NaN
  268 1780     0     0  con   18  7.5D+00  1.4D-01  5.417D-04        NaN
  269 1790     0     0  con    9  1.0D+00  2.9D-02  5.833D-04        NaN
  270 1805     0     0  con   14  1.7D+00  8.5D-02  7.409D-04        NaN
  271 1810     0     0  con    4  2.6D+00  1.1D-01  6.519D-04        NaN
  272 1827     0     0  con   16  6.8D+00  7.8D-01  1.378D-03        NaN
  273 1842     0     0  con   14  1.7D+00  3.4D-01  1.281D-03        NaN
  274 1860     0     0  con   17  1.6D+00  3.2D-02  9.569D-04        NaN
  275 1866     0     0  con    5  3.1D+00  2.4D-01  5.690D-04        NaN
  276 1873     0     0  con    6  1.6D+00  9.6D-02  5.868D-04        NaN
  277 1878     0     0  con    4  1.7D+00  1.9D-02  6.042D-04        NaN
  278 1883     0     0  con    4  1.6D+00  6.2D-02  6.512D-04        NaN
